comment_id,similerity_content,similerity_commemt,wordCount,wordRedundantRatio,noOfSentences,lengthOfComment,numberOfPunctuations,stopWordRatio,post_coment_gap,is_black_word,linkMailLinkAvailable,comment_duplication
Ugwj2NZspVwuYaPoTfZ4AaABAg,0.39499513967260574,0.4268467239294961,55,0.2545454545454545,10,323,2,0.10909090909090909,69555.16666666667,1,0,0
UgxQS2vSwdEbhR2aedh4AaABAg,0.3583824992476024,0.407724807478113,44,0.13636363636363635,5,269,0,0.09090909090909091,18876.933333333334,1,0,0
Ugw6mrKh4qpuLct8rah4AaABAg,0.262887845979376,0.24289241399298248,12,0.0,2,82,2,0.0,6786.15,0,0,0
UgxCHxtRtGz8MU2ffVl4AaABAg,0.17798526607109166,0.24872376876889604,26,0.038461538461538436,1,201,12,0.0,4692.9,0,1,0
UgyvgtI0zvwhs4Qtq4J4AaABAg,0.10302248238928223,0.19162611249221526,4,0.0,1,24,0,0.0,4666.016666666666,0,0,0
UgzNva3Kp681jA_kauJ4AaABAg,0.10769589906254773,0.1860343137777732,9,0.0,1,69,6,0.0,4571.65,0,1,0
UgwPmt-FCw2812Ie9CV4AaABAg,0.005922471086531853,0.16923001589716724,3,0.0,1,13,1,0.0,4570.716666666666,1,0,0
UgwDe5AtP5oP6BQXOD54AaABAg,0.23850227532192253,0.24913131450253223,9,0.0,1,48,0,0.2222222222222222,4457.816666666667,0,0,0
UgxNN-QdJOX8zuzgfcp4AaABAg,0.28570291746935705,0.293014588417999,11,0.09090909090909094,1,62,0,0.0,4450.766666666666,0,0,0
UgzoM-kLvE6ueY5jJ8h4AaABAg,0.03478227453902982,0.09115946248236978,9,0.0,1,65,9,0.0,4302.25,0,1,0
UgysqRLPwAbSqGu_nqN4AaABAg,0.12012682180712557,0.18830587738221075,10,0.0,1,45,0,0.4,3772.983333333333,0,0,0
UgyybHrArTateXKhxdx4AaABAg,0.3419934712729634,0.4111425092935111,41,0.0,12,272,5,0.0,3505.2166666666667,1,1,0
UgzWk2z7hKK0MCezHoh4AaABAg,0.27978251368234514,0.3249182747894632,13,0.0,1,74,0,0.07692307692307693,3210.9,1,0,0
Ugz1xFukTJOmss47CQB4AaABAg,0.4136780196150956,0.4100351972306906,81,0.2222222222222222,12,499,11,0.024691358024691357,2979.3166666666666,1,0,0
UgzE9iZdQky621osTz54AaABAg,0.0323847488361545,0.12856045231434027,6,0.0,1,41,1,0.0,1475.6666666666667,0,0,0
UgyQzfS7d-A87zIOmu94AaABAg,0.060561122140925856,0.14476993504803382,4,0.0,1,22,2,0.0,1093.25,1,0,0
UgxrP-FRSxHnOYTzd6J4AaABAg,0.2238196249371089,0.22183307317967005,8,0.0,1,54,4,0.0,1049.2166666666667,1,1,0
UgybUHxD4_U7aidAk554AaABAg,0.13622781887957777,0.29980649191810693,4,0.0,1,33,0,0.0,1033.2833333333333,1,0,0
Ugw2Z_2UvFVrwqsqjwh4AaABAg,0.173887110803645,0.2551630859689564,4,0.0,2,25,1,0.0,1008.1833333333333,0,0,0
Ugygssb8A1tVbKx_5lx4AaABAg,0.20531993709620303,0.3210414059377854,8,0.125,1,50,0,0.0,925.0,0,0,0
Ugy10ADCdL7VQXhk7654AaABAg,0.0772095203880384,0.19067976273261988,5,0.0,1,22,0,0.2,583.9,0,0,0
UgyZTSNq_LViGeL4_ph4AaABAg,0.13844420257317056,0.2804713052826558,3,0.0,1,13,0,0.0,521.0333333333333,0,0,0
UgxX8tZcCHpQTmxoJH14AaABAg,0.13597970108114918,0.20209303408317372,10,0.0,1,52,0,0.0,498.5833333333333,0,0,0
UgynV8ujjdME36KMoHx4AaABAg,0.28555047912242554,0.3284955700608045,7,0.0,1,42,0,0.0,463.93333333333334,0,0,0
Ugxo_WRFH-ash707gkh4AaABAg,0.22518059086485204,0.30893797326083505,10,0.09999999999999998,2,69,0,0.2,344.75,0,0,0
UgwMxRrjrDReXM2wbz94AaABAg,0.16403721313072533,0.22111442153342947,6,0.0,2,31,0,0.0,267.71666666666664,0,0,0
UgwcRVW1lCVdyeoXG_V4AaABAg,0.1372992968182807,0.19467133375395504,6,0.0,1,30,0,0.0,256.0833333333333,0,0,0
Ugzd_qUjVjUNm6kuPAl4AaABAg,0.2827022610047871,0.3206148123358516,15,0.0,1,78,0,0.13333333333333333,250.01666666666668,0,0,0
UgypWr6qy0nUn48O2kl4AaABAg,0.24685600284803413,0.29061538205660203,9,0.0,1,41,0,0.0,245.31666666666666,1,0,0
Ugw-zwXmHuYtCYbXrhV4AaABAg,0.03325739293490303,0.12051140266542243,4,0.0,1,15,0,0.0,231.05,0,0,0
UgxuKQBrNYRp8nSml8l4AaABAg,0.2398885802908555,0.3831579207569482,14,0.0714285714285714,1,65,0,0.0,211.43333333333334,1,0,0
Ugw-yaOcmQj0PsDg1uB4AaABAg,0.12850600001064813,0.20436879797019591,5,0.0,1,36,0,0.0,200.58333333333334,0,0,0
Ugx0RykZYTAzHg5Kf9J4AaABAg,0.19787397869302667,0.2436634729660679,10,0.0,1,62,0,0.0,184.5,1,0,0
UgzaF4xF_QnTFQ8DJ0N4AaABAg,0.11514916250973128,0.2105220981176256,4,0.0,1,19,0,0.0,179.31666666666666,0,0,0.0
Ugwl9WgtaIr4wwcWF6x4AaABAg,0.23314955066689946,0.2929330665389924,15,0.0,1,93,1,0.06666666666666667,177.28333333333333,0,0,0.0
UgxbWLbpszwhDc5LGFV4AaABAg,0.09953084909597498,0.1502618418327764,10,0.0,1,52,0,0.0,150.91666666666666,1,0,0.0
UgyGh4OgyHuLqX-fYIV4AaABAg,0.09336239531208952,0.13867435697318875,7,0.0,1,47,0,0.0,148.38333333333333,0,0,0.0
UgxdOUT25Voydh43RQZ4AaABAg,0.3513596728955379,0.34343539001643014,90,0.19999999999999996,10,535,7,0.07777777777777778,149.2,1,0,0.10008345870929891
UgwMAO8A298uztSMnXh4AaABAg,0.1281486352557689,0.23641075122949207,19,0.052631578947368474,1,103,0,0.0,144.65,0,0,0
UgxJhcVQpyFQJ6xT_6R4AaABAg,0.28301596234522447,0.41288110264804834,29,0.06896551724137934,1,162,0,0.034482758620689655,118.83333333333333,1,0,0
Ugzmby3vfg5S2xuEwg54AaABAg,0.10219409522150481,0.20062778089774172,7,0.0,3,49,0,0.0,118.38333333333334,0,0,0
Ugx6loEH3iaKOlZ7ME54AaABAg,0.2199422056236579,0.27459369428187813,7,0.0,1,41,0,0.0,117.05,1,0,0
UgxGzdZLvli2ZqYHiPV4AaABAg,0.14600647280052628,0.20177149938977437,5,0.0,1,30,1,0.0,100.86666666666666,0,0,0
UgxS58wiXhnGVQ7Z7s14AaABAg,0.2436289312732019,0.19370361104797634,7,0.0,1,33,0,0.14285714285714285,97.41666666666667,0,0,0
UgxYv73ZpEEkrRSpq094AaABAg,0.155969168161408,0.18565882647767346,7,0.1428571428571429,1,34,0,0.0,92.25,0,0,0.09716279020486099
UgyKXOtRw9LIDdmhwxV4AaABAg,0.14822603448001356,0.3300885366723089,17,0.05882352941176472,1,74,0,0.0,90.95,0,0,0.7528238284825504
UgzZiOiiUYACfjvOdb14AaABAg,0.1494298371859971,0.33326565727141294,13,0.07692307692307687,1,64,0,0.0,90.65,0,0,0.7528238284825504
Ugz2038kXDau53PD0G54AaABAg,0.1494298371859971,0.33326565727141294,13,0.07692307692307687,1,64,0,0.0,90.03333333333333,0,0,1.0
Ugxb2TTJZrwO0ax0Jd54AaABAg,0.1494298371859971,0.33326565727141294,13,0.07692307692307687,1,64,0,0.0,89.9,0,0,1.0
UgwfuUb7-3K0OjL3BmZ4AaABAg,0.11405979553796733,0.2403664623755912,3,0.0,1,36,0,0.0,86.46666666666667,0,0,0
Ugy-qjBjyau8adFAcwZ4AaABAg,0.17569793844216178,0.2757370920318962,8,0.0,1,37,0,0.0,83.45,0,0,0.09716279020486099
UgxKYg3IfS5Awt3h4ax4AaABAg,0.26567702969221296,0.3465239455990032,21,0.0,2,112,2,0.19047619047619047,72.16666666666667,0,0,0
UgwO0US5p9JAfXwM23R4AaABAg,0.032040589816716314,0.14707828031904502,3,0.0,1,13,0,0.0,64.25,0,0,0.04114647482271773
